ID,status,priority,URL/template,viewport,category,issue,evidence,affected visitor,likely booking impact,recommendation,acceptance criteria,effort,confidence,dependencies,resolution_note
PST-11,FIXED,P2,"/ (homepage)","all","Measurement / attribution","Only 1 of 7 homepage WhatsApp CTAs carried data-cta, making closing-CTA attribution unreliable.","Reproduced in the rendered DOM: 7 wa.me links, data-cta present on 1.","n/a — owner reporting","Without per-CTA attribution the owner cannot tell which placement earns enquiries.","Add data-cta to each homepage WhatsApp CTA.","Every wa.me CTA on the homepage carries data-cta.","S",High,None,"FIXED. 6 static CTAs marked; the 7th is rendered by reviews-grid.js and already carried it. Verified rendered: 7 of 7 have data-cta. No new events introduced — conversion-tracking.js already fired on any wa.me href, so this changes attribution quality only."
PST-12,PENDING OWNER,P2,"Whole site — analytics","n/a","Measurement","Two parallel event vocabularies describe the same clicks.","js/conversion-tracking.js emits whatsapp_click/call_click; js/main.js emits whatsapp_enquiry + whatsapp_booking (Ads AW-18103087307) and phone_click. Measured: one WhatsApp tap produces 3 dataLayer entries, one phone tap 2. Each NAME fires once, so nothing duplicates at dataLayer level.","n/a — owner reporting","Double counting only if GA4 tags are built on both names for one action.","Choose one vocabulary per action in GTM and document the authoritative one.","GTM contains exactly one tag per user action.",S,High,"GTM container access","Blocked — requires GTM dashboard access, which is outside the repository."
PST-13,PENDING OWNER,P2,"Whole site — enquiry measurement","n/a","Measurement","No link between a WhatsApp click and a confirmed booking.","GTM, GA4 (G-P3WJ9FXDF2) and Ads (AW-18103087307) all present and firing. whatsapp_click is the conversion signal; nothing records whether the enquiry became a trip.","n/a — owner reporting","Optimising on clicks can grow unqualified enquiries while bookings stay flat.","Add a short per-page booking reference to the WhatsApp prefill and log it on confirmation, or reconcile weekly.","A weekly enquiry count and confirmed-booking count exist for the same period.",M,Medium,"Owner process change","Blocked — requires an operator process decision, not a code change."
PST-14,FIXED,P2,"/contact/","all","Accessibility","Small supporting labels fell below AA contrast.","Reproduced: p.ctc-lbl used var(--g400) #909090 on #FFFFFF at 10.56px = 3.19:1 (needs 4.5). The values themselves were already fine at 19.8:1.","Low-vision visitors reading contact details","Friction at the last step before an enquiry.","Move to the existing muted-text token.","p.ctc-lbl computes >= 4.5:1.",S,High,None,"FIXED. contact/index.html:23 var(--g400) -> var(--g500). Measured 3.19:1 -> 5.33:1 at all four viewports."
PST-15,FIXED,P2,"/route-finder/","all","Accessibility","Filter pills fell below AA in the selected state.","Reproduced: the failing state is .rf-pill[aria-pressed=""true""] — #fff on var(--green) #05944F = 3.92:1. The unselected state was already fine.","Visitors using the route finder","Unreadable selected filters push visitors back to manual browsing.","Darken the selected-state green.","button.rf-pill computes >= 4.5:1 in both states.",S,High,None,"FIXED. route-finder/index.html:31 pressed state background #05944F -> #047A41 (a darker shade of the same brand green, no new colour introduced). Measured 3.92:1 -> 5.43:1 at all four viewports."
PST-16,FIXED,P2,"Shared header lockup — all legacy pages","360/390","Accessibility","The brand tagline rendered at 9.1px and below AA contrast.","Reproduced: .logo__t small was font-size .57rem (9.12px) in var(--g400) = 3.19:1.","All mobile visitors; anyone with reduced vision","Reads as a template artifact rather than a considered brand mark.","Raise the size and move to the muted-text token.","No rendered text below 11px; >= 4.5:1.",S,High,None,"FIXED. css/style.css:200 font-size .57rem -> .7rem (11.2px), colour var(--g400) -> var(--g500) = 5.33:1. Header height unchanged in practice (67px mobile / 61px desktop). Verified at all four viewports."
PST-17,FIXED,P2,"Route pages — .link-call, .proof__rev","360/390","Accessibility / touch","Secondary text links were 21px tall, below the 24x24 minimum target size.","Reproduced at 390px: a.link-call 161x21, a.proof__rev 207x21.","Mobile users, especially senior travellers who use the call link","The phone link is the primary path for visitors who will not use WhatsApp.","Add padding/min-height without changing type size.","All such controls >= 24px in both dimensions.",S,High,None,"FIXED. css/landing.css .link-call gains display:inline-block + padding-block:6px (21px -> 33px); .proof__rev gains min-height:26px (21px -> 26px, 40px at 768). Verified at all four viewports; no layout shift or overflow introduced."
PST-18,PENDING OWNER,P2,"Route + fare pages","all","Pricing clarity","Fare overage terms are thin: waiting/extra-km 25% of pages, night charges 14%, driver allowance 15%, state tax 32%.","Topic scan across 59 public pages. 12 pages show fare figures without stating one-way vs round-trip alongside them.","All price-sensitive visitors","Unstated overage rules cause hesitation and end-of-trip disputes.","Publish one fare-terms component wherever a fare appears.","Every page showing a fare also states per-car basis, one-way vs round-trip, and the rate beyond the included allowance.",M,High,"OWNER Q9, Q10","Blocked on owner — requires actual km/hour allowances and overage rates."
PST-19,PARTIALLY FIXED,P2,"Whole site — claim wording","all","Claim safety","High-frequency superlatives and absolutes need substantiation or softening.","Claim catalogue built during implementation (distinct phrasings, not regex counts). TWO CORRECTIONS to the original audit: (1) the ""guaranteed"" family is almost entirely HONEST HEDGES — ""We cannot guarantee an exact arrival time"", ""cannot guarantee specific birds"" — these are good practice and were wrongly flagged; (2) the ""best/#1/top-rated"" count included innocuous phrases such as ""best time to visit"". Genuine remaining items: 24/7 (PST-07), ""Verified Google Reviews"" (40 pages), ""no hidden/no surge"" (22 phrasings), ""within minutes"" (23 phrasings, dominant ""Usually replies within minutes"" on 21 pages), ""affordable"" (21 pages, one shared footer line).","All visitors","Unsupported superlatives reduce credibility with the international segment.","Review each family; keep what is evidenced, replace the rest with checkable statements.","Every remaining absolute claim is owner-confirmed or replaced.",M,Medium,"OWNER Q5, Q6","PARTIALLY FIXED. Driver-verification claim resolved site-wide: docs/claims-policy-audit.md records that the owner already had ""verified drivers"" removed from index.html and about/ as unevidenced, but it survived on 7 blog pages and in the homepage hero. Applied the same already-approved treatment to all 8 (""verified local drivers"" -> ""local drivers who know these routes""; ""a verified local driver"" -> ""a local driver who knows the route""). Verified: 0 driver-verification claims remain on public pages. All other families are service commitments or response-time promises and remain PENDING OWNER."
PST-20,DEFERRED,P3,"Repository hygiene","n/a","Performance / repo","366 MB of raw source imagery sits in the repository.","du: images/ is 380 MB — ""01 Fleet"" 38 MB, ""02 Destination Images"" 222 MB, ""03 Founder+ Destination"" 106 MB. No public HTML references them and a live request returns 404, so they are NOT served. This is repo weight, not user-facing weight.","n/a — developers","None for customers.","Move raw originals out of the deployed repository.","Repository image directory under 20 MB.",S,High,None,"DEFERRED. No visitor impact (confirmed 404 live). Moving 366 MB of binaries is a destructive repository operation that should be an explicit owner decision, not folded into a UX fix pass."
PST-21,DEFERRED,P3,"image-audit.html (internal, noindex)","n/a","Link integrity","Two broken internal links in an internal tool.","Link crawl: image-audit.html references PST-Image-Prompt-Library.html twice; the file does not exist.","n/a — internal only","None for customers.","Fix or remove the links.","Zero unresolved internal links.",S,High,None,"DEFERRED. Internal noindex tool with no customer impact; excluded from this customer-facing pass."
PST-22,DEFERRED,P3,"/driver-app/icons/generate-icons.html","n/a","Indexability","An internal icon-generator page is an orphan without noindex.","No inbound links; not in sitemap; no robots noindex. It IS listed in .vercelignore and a live request returns 308, so exposure appears limited.","Search engines","Negligible.","Add noindex or confirm the ignore rule fully excludes it.","Live request returns 404 or the page carries noindex.",S,Medium,None,"DEFERRED. Live behaviour already suggests it is not served; confirming requires deployment access."
PST-23,PARTIALLY FIXED,P2,"Shared proof strip / trust band","all","Trust / evidence","Operating history, driver verification, insurance and GST/registration are almost entirely absent.","Topic scan: years operating 0 of 59 pages; driver verification now 0 (see PST-19); insurance 6; GST/invoice 2. docs/claims-policy-audit.md confirms insurance and driver-verification claims were removed for lack of evidence — so this gap is known and deliberate, awaiting facts.","Journey E (solo traveller) and Journey A (first-time international visitor)","These are the facts a cautious first-time visitor checks before messaging a stranger's WhatsApp number.","Add a short factual credentials line once the owner supplies evidence.","Credentials appear on /about/ and the shared trust band, each traceable to an owner-confirmed fact.",M,High,"OWNER Q1, Q2, Q3, Q4","Established year OWNER-CONFIRMED 2026-09-12: 2025. Published as ""serving travellers since 2025"" on the homepage and About page, and as foundingDate:2025 in 77 LocalBusiness nodes across 41 pages (all 230 ld+json blocks still parse). Insurance, GST/registration and driver-verification process remain UNCONFIRMED (Q2, Q3, Q4) so no credentials strip was published."
PST-24,FIXED,P2,"/ (homepage) WhatsApp prefill","390","Conversion","The homepage WhatsApp prefill was markedly weaker than the route pages'.","Reproduced: route pages send a structured multi-line template; the homepage sent a single line ""Route: ___ | Date: ___ | Passengers: ___"".","Homepage visitors — the largest single entry point","The structured template tells the visitor what to say and gives the operator a complete enquiry first time.","Adopt the structured template with Route left blank.","Homepage prefill uses the same structured field list as route pages.",S,High,None,"FIXED. All 7 homepage WhatsApp links (6 static + 1 rendered from the review mount's data-wa) now send: Route / Travel date / Pickup time / Pickup point in Agra / Passengers / One way or round trip, closing with ""Please share availability and fare."" Verified rendered: 7 of 7 carry the structured prefill. No message was sent during testing."
